Case Type,Status,Request Received (Year),Request Received (Quarter),Request Received (Month),Case Active Days (grouped)
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 3,September,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,October,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,October,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,October,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,November,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Complaints,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Complaints,Closed,2018,Quarter 4,November,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Appeals,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,More than 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Complaints,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Complaints,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 60 days used
FOIA Complaints,Closed,2018,Quarter 4,December,Up to 20 days used
FOIA Case,Closed,2018,Quarter 4,December,Up to 40 days used
FOIA Complaints,Closed,2018,Quarter 4,December,Up to 20 days used
